article_id,technique,span_text,start,end
738060046,Black-and-White_Fallacy,"If there’s homosexual men, the punishment is one of five things.
One – the easiest one maybe – chop their head off, that’s the easiest.
Second – burn them to death.
Third – throw ’em off a cliff.
Fourth – tear down a wall on them so they die under that.
Fifth – a combination of the above.”
",1379,1670
731762731,Causal_Oversimplification,"If I don’t expect the Catholic Church to do anything, then I won’t be too disappointed when they don’t do anything",2388,2502
730573740,Black-and-White_Fallacy,"If a priest blesses a homosexual couple, then this is an atrocity at a holy site, namely, to approve of something that God does not approve of.”
",983,1128
730573740,Black-and-White_Fallacy,"In dogmatic questions, there cannot be a plurality,”",2177,2229
730573740,Black-and-White_Fallacy,"There is only one Magisterium, he said, and bishops' conferences can only decide about pastoral questions.",2240,2346
730573740,Black-and-White_Fallacy,he who lives in the state of mortal sin cannot receive Holy Communion.”,2682,2753
730573740,Black-and-White_Fallacy,"The Commandments are an expression of the Love of God for us.
If we fulfill them, we are united with God.”
",4118,4225
793921939,Black-and-White_Fallacy,a good thing for Americans,381,407
700551604,Causal_Oversimplification,Trump is in the driver’s seat because the CIA cannot afford to permit the American people to see the records it wants to continue to be kept secret.,1881,2029
700551604,Causal_Oversimplification,"once the CIA gives Trump what he wants, he will cave and give the CIA the continued secrecy it so desperately needs.",2034,2150
700551604,Causal_Oversimplification,"It’s essentially an admission of guilt,",3326,3365
700551604,Causal_Oversimplification,"They had to make certain that Oswald was not on to them and had not discovered that he was being set up for a frame-up.
",5977,6097
700551604,Causal_Oversimplification,it knows that those records will further implicate the CIA in the Kennedy assassination.,7425,7513
700551604,Causal_Oversimplification,"by seeking continued secrecy, it’s essentially an implicit acknowledgment of guilt.
",7547,7631
700551604,Causal_Oversimplification,because it knows that its assets and allies in the mainstream press will continue to come to its defense,7694,7798
776345502,Causal_Oversimplification,This leftwing witch hunt has been ongoing since day one of Trump’s presidency in order to impair and impede his ability to get the job done,374,513
698018235,Black-and-White_Fallacy,"If our Jewish institutions — particularly the American Jewish Historical Society — cannot accommodate dissent, and effectively exclude all Jewish anti-Zionists, then they have not only lost a rapidly growing Jewish population, but they have lost a key aspect of their Jewishness",2132,2410
698018235,Black-and-White_Fallacy,Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn,3514,3649
765913191,Black-and-White_Fallacy,despite the fact that government has never been given authority to restrict or regulate arms,255,347
765913191,Black-and-White_Fallacy,attacking the rights of the people,3587,3621
765913191,Black-and-White_Fallacy,We wouldn’t be doing our jobs as mayors if we weren’t focusing on gun violence,5827,5905
765913191,Black-and-White_Fallacy,"the Second Amendment recognizes the right to keep and bear arms is a right given to us by our Creator, not a permission we gain from government",6739,6882
790720714,Causal_Oversimplification,She knew it would be made public,1924,1956
790720714,Causal_Oversimplification,"If you think Mrs. Ford is ignorant of this considering her father works for the Central Intelligence Agency and her prior criminal political activism, then you aren't thinking clearly",2760,2943
790720714,Causal_Oversimplification,"that attack on him was orchestrated, it was political and Ford was a part of it",3502,3581
790720714,Causal_Oversimplification,"Ford is not seeking justice nor is she seeking to do her ""civic duty.""
She is seeking to slander a man's character for something she cannot prove that she claims happened over 36 years ago",3882,4070
111111122,Causal_Oversimplification,"meone who hires based on what he thinks someone doing that job should look like, ",5842,5923
777488669,Causal_Oversimplification,TO ARGUE AGAINST THE DEATH PENALTY is to contend with constituted reality,111,184
777488669,Causal_Oversimplification,"there has always been a death penalty.
God instituted it, and He was the first to impose it, embedding it in the very fabric of natural law",694,833
777488669,Causal_Oversimplification,from that point in history lawful killing in atonement for taking the life of another is sanctioned by God,2379,2485
777488669,Causal_Oversimplification,"After all, it is not the injury to relatives or any other human consideration that makes homicide the serious sin that it is, but as God Himself pointed out to Noah, it is the fact that “man was made to the image of God” that makes an assault on him tantamount to an assault on God.
It is therefore to God, and not to His creatures that reparation is primarily due",4583,4947
777488669,Causal_Oversimplification,it was instituted by God Himself,6374,6406
777488669,Black-and-White_Fallacy,the death penalty as administered by society must be viewed against the backdrop of divine revelation if it is to make any real sense,14593,14726
777488669,Causal_Oversimplification,"Suffering the penalty not only allows the criminal to render expiation to God and to society, but if accepted in Christ’s grace with due repentance, it preserves his soul from hell and eliminates much of his purgatory",14892,15109
777488669,Causal_Oversimplification,the problem of the death penalty is insoluble except from a Christian point of view,15401,15484
777488669,Causal_Oversimplification,without the shedding of blood there is no remission,17289,17340
777488669,Causal_Oversimplification,"From that point on it is Christ who delegates the divine authority to punish by killing, and both Scripture and tradition testify that it is lawfully wielded by those to whom He entrusts the temporal sword in His Kingdom",18451,18671
777488669,Causal_Oversimplification,"As with everyone else the moment of death ushers them either into heaven, hell or purgatory",21752,21843
777488669,Causal_Oversimplification,"By divine decree it will perdure until the end of time, when “the former things are passed away.” Only then “death shall be no more, nor mourning, nor crying, nor sorrow shall be any more,” and not one minute sooner",22360,22575
727658675,Black-and-White_Fallacy,"the “beautiful explanations” that are being presented to clergy and faithful as “discernment” and “pastoral accompaniment,” or a “change of paradigm” and “discovery of the subjective part of the truth,” when translated into “common sense language,” are tantamount to an allowance to sin.
",2556,2844
727658675,Causal_Oversimplification,"As Successors of the Apostles, Schneider said they “could not act in another way.”
",3033,3116
727658675,Black-and-White_Fallacy,"As Successors of the Apostles, Schneider said they “could not act in another way",3033,3113
789121798,Causal_Oversimplification,"every time there's a man that you don't like running for public office or being nominated for a position, some woman crawls out from a line of protesters and makes an ambiguous-at-best claim about unwanted sexual advances",2480,2701
789121798,Causal_Oversimplification,they dig up some Trump-hating woman from Kavanaugh’s past and convince her to say that he assaulted her thinking that such an allegation will surely delay the vote long enough for them to regain control of Congress,3988,4202
715588833,Black-and-White_Fallacy,Even if the attempt is void and of no effect before man and God—an immoral law is no law at all—,7638,7734
782017101,Causal_Oversimplification,there’s only one possible explanation,2333,2370
782017101,Black-and-White_Fallacy,"Yet everything right is good, and everything wrong is evil",263,321
729410793,Black-and-White_Fallacy,homosexuality always contradicts the Will of God,657,705
729410793,Causal_Oversimplification,"Rather than being about receiving “God’s assistance for themselves,” those engaging in sodomy and wishing to have it “blessed” by the Church “aim with their request at the recognition and acceptance of their homosexual way of life and its ecclesial valorization.”
",754,1018
729410793,Black-and-White_Fallacy,"“Any such ‘blessing rite’ would cooperate in a morally forbidden act, no matter how sincere the persons seeking the blessing,”",3356,3482
729410793,Black-and-White_Fallacy,"there is no truth, no real mercy, and no authentic compassion, in blessing a course of action that leads persons away from God.”
",4237,4366
773520636,Black-and-White_Fallacy,No enactment of man can be considered law unless it conforms to the Law of God,6047,6125
694356862,Causal_Oversimplification,Barack Obama's reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat,71,171
694356862,Causal_Oversimplification,giving rise to ISIS’s re-emergence in Iraq,532,574
694356862,Causal_Oversimplification,"legitimized Iran's path to eventually becoming a nuclear-armed state,",854,923
730389374,Black-and-White_Fallacy,"active diplomacy, not military action.",4016,4054
780786973,Causal_Oversimplification,they know there is no Russian Collusion,1474,1513
737194975,Causal_Oversimplification,"If you keep a handgun in the bedside table and drink beer regularly, you may [be] in trouble",10692,10784
701837665,Causal_Oversimplification,"obviously sat on the request, undoubtedly hoping that he could get what he wanted in return if he just continued holding out and conveying that he was ready to release the records.
",1829,2010
701837665,Causal_Oversimplification,"it is a virtual certainly that when Art of the Deal Trump sent out those two tweets, he was sending a message to the CIA as part of the negotiations:",2792,2941
701837665,Causal_Oversimplification,"the records undoubtedly contain more incriminating circumstantial evidence that fills in the mosaic of a U.S. national-security regime-change operation on November 22, 1963.",3251,3424
701837665,Causal_Oversimplification,it knew would point to the CIA’s guilt in the assassination.,3824,3884
701837665,Causal_Oversimplification,"the obvious inference that people would draw — that the CIA was continuing to cover up incriminatory evidence.
",3958,4069
701837665,Causal_Oversimplification,Let’s state the obvious: The CIA records that are still being suppressed have nothing to do with “national security.” They have everything to do with covering up the CIA’s role,6697,6873
701837665,Causal_Oversimplification,"the same motive that motivated the CIA and Pentagon to target other political leaders for regime change or assassination around that time,",7529,7667
701837665,Causal_Oversimplification,"They needed to get rid of Kennedy to protect national security and elevate Johnson, who had the same anti-communist mindset as the Pentagon and the CIA, to the presidency.",10802,10973
701837665,Causal_Oversimplification,"no doubt being told that he was being prepared for an important mission,",11844,11916
7618970899,Causal_Oversimplification,"“They used me as an example because of [the backlash over] Hillary Clinton,”",3636,3712
765029945,Black-and-White_Fallacy,"only shameless Zionists would attempt to equate killing Jews with killing Jews.
",251,331
765029945,Causal_Oversimplification,The attacks here are motivated by a desire for open borders.,1502,1562
781768042,Causal_Oversimplification,Sodom and Gomorrah was Judged by God Because Men Refused to Keep His Commandments in Dealing with the Wicked,0,108
781768042,Causal_Oversimplification,"homosexuality was the reason God poured fiery sulfur on the cities, completely destroying them and all of their inhabitants",7046,7169
781768042,Causal_Oversimplification,"Sodom and Gomorrah serve as a powerful example of how God feels about sin in general, and homosexuality specifically",7261,7377
781768042,Causal_Oversimplification,"It's the same reason that he is judging America today (Amos 4:12), He cannot find the righteous in order to spare her ",11987,12105
781768042,Causal_Oversimplification,which leaves no alternative as to why God judges and is judging America today ,12449,12527
758386255,Black-and-White_Fallacy,Anyone attempting to do this are Bad Nuns,6137,6178
696264594,Black-and-White_Fallacy,"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews",7337,7433
762546428,Causal_Oversimplification,It’s the very reason the governments of the world still exist.,2652,2714
770156851,Black-and-White_Fallacy,is history,283,293
770156851,Black-and-White_Fallacy,It’s not coming back,295,315
770156851,Black-and-White_Fallacy,There will be no turning back,664,693
778139122,Causal_Oversimplification,This is precisely because WikiLeaks is producing the kind of journalism that they ought to be doing,10283,10382
999001621,Causal_Oversimplification,"Its job is to shore up a consensus on the left for attacks on leading threats to the existing, neoliberal order: ...
The Guardian did not make a mistake in vilifying Assange without a shred of evidence.
It did what it is designed to do",9861,10096
999001621,Causal_Oversimplification,"It is no accident that Luke Harding is still employed: in fact, it is because of Harding’s consistent loyalty to establishment, specifically the UK intelligence apparatus, over the truth that determines his “success” amongst legacy press outlets.
Harding is not a defacement or a departure from the norm, but the personification of it",9140,9474
7634408719,Black-and-White_Fallacy,"There is no better way to keep the Catholic family together and committed to the Catholic restoration than the Catholic home school.
",3228,3361
724791253,Black-and-White_Fallacy,"If there’s homosexual men, the punishment is one of five things.
One – the easiest one maybe – chop their head off, that’s the easiest.
Second – burn them to death.
Third – throw ’em off a cliff.
Fourth – tear down a wall on them so they die under that.
Fifth – a combination of the above.”
",918,1209
757964238,Causal_Oversimplification,for profit system,497,514
694327499,Causal_Oversimplification,"All of the critics of AL are wrong—every one of them!—because, you see, the original Latin text does not say what the English text does.
",1366,1503
694327499,Causal_Oversimplification,all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven’t consulted the Latin text—,4811,4934
770376380,Causal_Oversimplification,"It is to defend Islam that Western clerics do not raise their voice against such acts of brutality.
It is to pursue a fruitless and chimerical “dialogue” that bishops in the U.S. and Europe keep silent about Muslim persecution of Christians, and enforce that silence upon others",4504,4782
765385479,Causal_Oversimplification,The authorities care so little about violence against women that they manipulate rape allegations at will,6337,6442
696694316,Black-and-White_Fallacy,"…it is not allowable to emphasize what is called the “communal” Mass to the disparagement of Masses celebrated in private, or to exaggerate the element of sacramental sign as if the symbolism, which all certainly admit in the Eucharist, expresses fully and exhausts completely the mode of Christ’s presence in this sacrament.
",7971,8297
696694316,Black-and-White_Fallacy,"Nor is it allowable to discuss the mystery of transubstantiation without mentioning what the Council of Trent stated about the marvelous conversion of the whole substance of the bread into the Body and of the whole substance of the wine into the Blood of Christ, speaking rather only of what is called “transignification” and “transfiguration,”",8298,8642
696694316,Black-and-White_Fallacy,"If the Mass were ever reduced in our minds to being merely a commemorative meal and the priest as only a community leader or functionary, then the celibacy of the Catholic Priesthood might seem extravagant",10661,10866
727736557,Causal_Oversimplification,posted an article this week that pointed to Haig's background in the aerospace industry as a sign of U.S. government involvement in the massacre,1203,1347
728169864,Black-and-White_Fallacy,Failure to do so exposes the party’s liberal agenda as a sham,6198,6259
761674108,Causal_Oversimplification,Trump is president because he read the party and the country right,1549,1615
761674108,Black-and-White_Fallacy,"Should Trump fall, and a restored establishment attempt to reimpose the old policies, there will be a truly uncivil war in this country.
",4529,4666
761674108,Black-and-White_Fallacy,"After the Trumpian revolt, there is no going back.",4666,4716
771879020,Causal_Oversimplification,"Clearly, they were acting unlawfully when they did what they did",1647,1711
761969692,Black-and-White_Fallacy,"Only legislation, above all an immigration moratorium, can secure the fruits of the current economic expansion for Americans.",601,726
761969692,Black-and-White_Fallacy,"The only answer is legislation— border wall to stop the illegal alien flow; a second Operation Wetback, including E-Verify, to get the illegal alien self-deporting; a moratorium on legal immigration",2291,2489
703698295,Causal_Oversimplification,"with whom, I guess, she has also no choice but to have sexual relations.
Because of kind-heartedness.
",8634,8736
703698295,Black-and-White_Fallacy,"falsely elevated to the rank of a decisive question of Catholicism and a measure of ideological comparison in order to decide whether one is conservative or liberal, in favor or against the pope.”",9765,9961
703698295,Causal_Oversimplification,Presumably because adultery itself is no longer sinful,8006,8060
7786642809,Causal_Oversimplification,This is what the Church of Accompaniment is all about,9976,10029
7786642809,Causal_Oversimplification,"All very well and good, except for the fact that the Church's constant and unchanging moral teaching on this makes no such allowance",6037,6169
7786642809,Causal_Oversimplification,"Basing itself on Sacred Scripture, which presents homosexual acts as acts of grave depravity, tradition has always declared that ""homosexual acts are intrinsically disordered.""
They are contrary to the natural law.
They close the sexual act to the gift of life.
They do not proceed from a genuine affective and sexual complementarity.
Under no circumstances can they be approved",6543,6921
7786642809,Causal_Oversimplification,"thus the inclination itself must be seen as an objective disorder.
Therefore special concern and pastoral attention should be directed to those who have this condition, lest they be led to believe that the living out of this orientation in homosexual activity is a morally acceptable option.
It is not",7514,7815
7786642809,Causal_Oversimplification,"Quite obviously, it is because what they are actually closing an episcopal eye to are the folks who want to keep right on sinning--and sinning proudly",9824,9974
711964584,Causal_Oversimplification,"The worldwide howl at Trump’s retweets of videos tweeted out by a British politician is further proof of the Islamization of the West.
",2543,2678
711964584,Black-and-White_Fallacy,"If Muslims sincerely condemn jihad terror and sharia oppression, they shouldn’t oppose him.
",3289,3381
711596363,Causal_Oversimplification,San Francisco’s decision to protect criminal aliens led to the preventable and heartbreaking death of Kate Steinle,3894,4008
711596363,Causal_Oversimplification,"SF city just proved beyond a shadow of a doubt that they dont care if YOU, or others get killed by their policies",4985,5098
999000154,Causal_Oversimplification,"She is a hijab-wearing, devout Muslim, and Islamic Jew-hatred is in the Quran",241,318
999000154,Causal_Oversimplification,"but this is the way the Democrat leadership, and the Democrat base, thinks.
They want candidates like Ilhan Omar.
And they know they’ll win, because this is their base today",505,678
999000154,Causal_Oversimplification,"Neither the Democrat leadership nor the Democrat base cares that she married her brother.
She is a Muslim and a leftist, so she can further their identity politics.
That’s all that matters to them",1329,1525
722512241,Black-and-White_Fallacy,"it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist",2490,2594
722512241,Black-and-White_Fallacy,"As a proper Antichrist, Islam exists only as an enemy of all:",3673,3734
722512241,Black-and-White_Fallacy,"For the Qur’an, Christians “are only impurity”",3840,3886
722512241,Black-and-White_Fallacy,Allah has nothing to offer but war and murder of the “infidels” in exchange for his paradise:,4325,4418
722512241,Black-and-White_Fallacy,"Jesus has never indicated any other way than that of the Cross,",5527,5590
722512241,Black-and-White_Fallacy,The headquarters of my archdiocese and my apostolate have been occupied by radical Islamists who want us to convert or die.,7424,7547
772947654,Causal_Oversimplification,because they thought Hillary Clinton was going to win,2339,2392
772947654,Causal_Oversimplification,because they thought that Hillary Clinton was going to win,2780,2838
772947654,Causal_Oversimplification,driven by their own guilt,6327,6352
772947654,Black-and-White_Fallacy,"The stronger NATO is, the less maneuvering room Russia has",4196,4254
728972961,Black-and-White_Fallacy,"You have no authority to compose this schema, because it is a theological thesis and therefore within the competence of the Theological Commission.”",8558,8706
728972961,Causal_Oversimplification,"if the reforms are bad, then it is impossible that the Council is good and all the reforms are bad, because that is the authentic interpretation of the Council by Rome.",11014,11182
728972961,Black-and-White_Fallacy,"We must tolerate - have tolerance for the error - but never give the same right to error and truth.
That is impossible.
",15155,15275
724095598,Causal_Oversimplification,"Let’s face it, twice before the attack ISIS warned the United States that they would attack Las Vegas and then after the attack claimed responsibility four times,”",848,1011
790667730,Causal_Oversimplification,"What you want to do is destroy this guy's life, hold this seat open, and hope you win in 2020",910,1003
730149656,Black-and-White_Fallacy,"If the board members of Crime Stoppers and Citizens’ Crime Watch do not wish to be associated with anti-Semitism or white supremacism or Hamas or Holocaust denial or Steve Anderson or David Duke or Louis Farrakhan, then they must cut ties with Sofian Zakkout",4647,4905
730149656,Causal_Oversimplification,making the claim that Jews have experienced such abuse because they have somehow been cursed,306,398
730149656,Causal_Oversimplification,"
‘Cause they’re under the curse of God for having rejected the Lord Jesus Christ.”
",1492,1575
999001619,Causal_Oversimplification,"Its job is to shore up a consensus on the left for attacks on leading threats to the existing, neoliberal order",13960,14071
999001619,Causal_Oversimplification,"The Guardian did not make a mistake in vilifying Assange without a shred of evidence.
It did what it is designed to do",14571,14689
729668796,Black-and-White_Fallacy,"Were the Ammonites and Moabites not kept out of the assembly of Israel because of their hatred of the people of God?
(Deuteronoy 23:3-6)",3804,3940
729668796,Black-and-White_Fallacy,"one cannot allow such an influx into the country, or all you are asking for is the judgments God warned about in Deuteronomy 28.
",3997,4126
721890296,Black-and-White_Fallacy,"The reason why people are in your country is not because they are refugees, but because they want a German life",2456,2567
7625464289,Causal_Oversimplification,It’s the very reason the governments of the world still exist.,2652,2714
761610997,Black-and-White_Fallacy,"""There is no Republican Party.
There's a Trump party,""",190,244
761610997,Black-and-White_Fallacy,"if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like",1222,1325
761610997,Causal_Oversimplification,"China was allowed to run $4 trillion in trade surpluses at our expense, converting herself into the world's first manufacturing power and denuding America of tens of thousands of factories and millions of manufacturing jobs",2604,2827
761610997,Causal_Oversimplification,so disillusioned the nation that it elected Barack Obama,3663,3719
761610997,Black-and-White_Fallacy,its time has come and gone,5045,5071
737457870,Causal_Oversimplification,"The statement though is full of conspiracy theories and blames everyone else for Davis' behavior except him.
",1606,1715
765982381,Causal_Oversimplification,All for spreading unwelcome truth around,2422,2462
788816478,Causal_Oversimplification,"They deliberately refused to bring up the allegations, as weak and ridiculous as they are, at Kavanaugh’s Senate confirmation hearings because they didn’t want to have a rational discussion",446,635
788816478,Causal_Oversimplification,Ford’s request for an FBI probe is “clearly a desire to delay proceedings,5330,5403
755170235,Black-and-White_Fallacy,"ica will face a choice between accepting a nuclear-armed Iran or acting to destroy as much of this capability as possible.”
T",5779,5904
111111132,Black-and-White_Fallacy,Bypassing the class left her vulnerable to bullying,4198,4249
111111132,Black-and-White_Fallacy,"“You don’t need to be reading this.
You need to be reading the Bible.”",4427,4497
111111132,Black-and-White_Fallacy,"If you die tonight.
Heaven or Hell?",5776,5811
111111131,Black-and-White_Fallacy,People are going to be very impressed,1031,1068
111111112,Black-and-White_Fallacy,We condemn all those whose behaviours and views run counter to our shared values,476,556
703821117,Causal_Oversimplification,The cover-up of this particular U.S. regime-change operation,114,174
703821117,Causal_Oversimplification,"There could be only one answer: communists.
Soviet and Cuban communists, to be more specific.",5281,5374
703821117,Causal_Oversimplification,"The communist part and the nuclear-war part were concocted.
That was all part of the plan.",6520,6610
703821117,Causal_Oversimplification,The answer: Helms lied.,13936,13959
703821117,Causal_Oversimplification,"There is no reasonable doubt that Oswald was a U.S. intelligence agent,",13960,14031
703821117,Causal_Oversimplification,"when Oswald was claiming that he was being framed, there could be only one entity that he could have been thinking about: the CIA,",14511,14641
703821117,Causal_Oversimplification,"were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him.",14752,14921
703821117,Causal_Oversimplification,That’s why the CIA has to continue keeping those records secret.,15216,15280
703821117,Causal_Oversimplification,"Then why the hidden rifle?
Because it’s consistent with a frame-up.",15785,15852
703821117,Causal_Oversimplification,That’s why they had shots fired from the front and placed Oswald in the rear.,16335,16412
711566593,Black-and-White_Fallacy,There’s no other way you can coin it,1779,1815
